Real Valladolid, 
--------------------------
G  13  Roberto
D  2  Allan-Romo Nyom
D  15  Pape Diakhate
D  22  Dimitri Foulquier
D  24  Murillo
M  4  Fran Rico
M  14  Recio
M  18  Manuel Iturra
F  9  Youssef El Arabi
F  10  Yacine Brahimi
F  20  Piti

Real Sociedad  VS.  Celta Vigo:
G  1  Claudio Bravo
D  3  Mikel Gonzalez
D  6  Iigo Martnez
D  24  Alberto de la Bella
D  31  Zalda
M  5  Markel Bergara Larraaga
M  7  Antoine Griezmann
M  10  Xabi Prieto
M  17  David Zurutuza
M  18  Gonzalo Castro Irizabal
F  11  Carlos Vela
--------------------------
G  13  Yoel Rodrguez Oterino
D  2  Hugo Mallo
D  15  Jon Aurtenetxe
D  19  Jonny
D  22  Gustavo Cabral
M  3  Fonts
M  8  lex Lpez
M  24  Augusto Fernndez
F  10  Nolito
F  11  Charles
F  12  Rafinha

Almeria  VS.  Real Madrid:
G  1  Suarez Esteban
D  2  Marco Torsiglieri
D  4  Hernan Dario Pellerano
D  5  ngel Trujillo
D  16  Sebastian Dubarbier
D  22  Nlson
M  7  Verza
M  8  Alexis Vidal Parreu
M  17  Suso
M  31  Ramn Azeez
F  10  Rodri
--------------------------
G  25  Diego Lopez
D  3  Pepe
D  4  Sergio Ramos
D  15  Daniel Carvajal
D  17  lvaro Arbeloa
M  7  Cristiano Ronaldo
M  11  Gareth Bale
M  14  Xabi Alonso
M  23  Isco
M  24  Asier Illarramendi
F  9  Karim Benzema

Atletico Madrid  VS.  Getafe:
G  13  Thibaut Courtois
D  3  Filipe Luis
D  12  Toby Alderweireld
D  20  Francisco Juanfran
D  23  Miranda
M  5  Tiago
M  6  Koke
M  8  Ral Garca
M  10  Arda Turan
M  14  Gabi
F  9  David Villa
--------------------------
G  1  Miguel Moya
D  2  Alexis
D  3  Roberto Lago
D  6  Alberto Lopo
D  20  Valera
M  14  Pedro Len
M  17  Diego Castro Gimenez
M  21  Michel
M  23  Borja
F  7  Lafita
F  11  Adrin Colunga

Real Valladolid  VS.  Osasuna:
G  13  Diego Marino Villar
D  4  Marc Valiente
D  6  Jess Rueda
D  17  Carlos Gonzalez Pea
D  24  Gilberto Garca
M  11  Daniel Larsson
M  16  Lluis Sastre
M  18  Alvaro Rubio
M  20  Patrick Ebert
M  21  Zakara Bergdich
F  9  Javi Guerra
--------------------------
G  13  Andrs Fernndez
D  2  Marc Bertrn
D  14  Javi Arribas
D  22  Jordan Loties
D  24  Damia
M  5  Lolo
M  8  Miguel de las Cuevas
M  9  Emiliano Armenteros
M  10  Francisco Pual
M  21  Roberto Torres
F  16  Alvaro Cejudo

Espanyol  VS.  Real Valladolid:
G  13  Francisco Casilla
D  15  Hctor Moreno
D  16  Jav Lpez
D  18  Juan Rafael Fuentes Hernandez
D  19  Diego Colotto
M  4  Vctor Snchez
M  8  Christian Stuani
M  9  Sergio Garca
M  14  David Lpez
M  20  Simo
F  24  Jhon Cordoba
--------------------------
G  13  Diego Marino Villar
D  2  Antonio Rukavina
D  4  Marc Valiente
D  6  Jess Rueda
D  17  Carlos Gonzalez Pea
M  5  Fausto Rossi
M  10  scar Gonzlez
M  18  Alvaro Rubio
M  20  Patrick Ebert
M  21  Zakara Bergdich
F  9  Javi Guerra

Getafe  VS.  Barcelona:
G  1  Miguel Moya
D  2  Alexis
D  4  Lisandro Lopez
D  18  Sergio Escudero
D  20  Valera
M  7  Lafita
M  14  Pedro Len
M  17  Diego Castro Gimenez
M  23  Borja
M  24  Pedro Mosquera
F  9  Ciprian Marica
--------------------------
G  13  Jos Manuel Pinto
D  3  Gerard Piqu
D  14  Javier Mascherano
D  18  Jordi Alba
D  22  Dani Alves
M  8  Andrs Iniesta
M  16  Sergio Busquets
M  24  Sergi Roberto
F  4  Cesc Fbregas
F  7  Pedro
F  9  Alexis Snchez

Athletic Bilbao  VS.  Rayo Vallecano:
G  1  Gorka Iraizoz
D  6  Mikel San Jose
D  15  Andoni Iraola
D  18  Carlos Gurpegui
D  24  Mikel Balenziaga
M  8  Ander Iturraspe
M  14  Markel Susaeta
M  17  Moreno Mikel Rico
M  19  Iker Munian
M  21  Ander Herrera
F  2  Gaizka Toquero
--------------------------
G  13  Rubn
D  2  Tito
D  5  Alejandro Glvez
D  18  Ze Castro
D  26  Johan Mojica
M  7  Lass
M  8  Adrian Gonzalez
M  14  Alberto Perea
M  22  Sal guez Esclapez
M  23  Alberto Bueno
F  19  Jonathan Viera

Celta Vigo  VS.  Osasuna:
G  13  Yoel Rodrguez Oterino
D  3  Fonts
D  15  Jon Aurtenetxe
D  19  Jonny
D  30  David Costas
M  4  Borja Oubina Melendez
M  23  Michael Krohn-Dehli
M  24  Augusto Fernndez
F  12  Rafinha
F  14  Fabin Orellana
F  29  Santi Mina
--------------------------
G  13  Andrs Fernndez
D  2  Marc Bertrn
D  4  Miguel Flao
D  22  Jordan Loties
D  24  Damia
M  5  Lolo
M  9  Emiliano Armenteros
M  10  Francisco Pual
M  16  Alvaro Cejudo
M  21  Roberto Torres
F  19  Oriol Riera Magem

Valencia  VS.  Real Madrid:
G  13  Vicente Guaita
D  5  Victor Ruiz
D  12  Joao Pereira
D  14  Juan Bernat
D  22  Jrmy Mathieu
M  2  Pablo Piatti
M  6  Oriol Romeu
M  8  Sofiane Feghouli
M  21  Daniel Parejo
M  28  Federico Cartabia
F  7  Jonas
--------------------------
G  25  Diego Lopez
D  4  Sergio Ramos
D  12  Marcelo
D  17  lvaro Arbeloa
D  18  Nacho Fernandez
M  7  Cristiano Ronaldo
M  14  Xabi Alonso
M  19  Luka Modric
M  22  ngel Di Mara
M  23  Isco
F  9  Karim Benzema

Villarreal  VS.  Sevilla FC:
G  1  Sergio Asenjo
D  2  Mario Gaspar Prez Martnez
D  5  Mateo Musacchio
D  18  Jaume
D  20  Gabriel Paulista
M  11  Hernn Prez
M  14  Trigueros
M  17  Javier Aquino Carmona
M  21  Bruno
F  8  Ikechukwu Uche
F  9  Giovani Dos Santos
--------------------------
G  13  Beto
D  2  Federico Fazio
D  3  Fernando Navarro
D  4  Cala
D  23  Coke Andjar
M  6  Daniel Carrio
M  11  Ivan Rakitic
M  12  Vicente Iborra de la Fuente
M  19  Jos Antonio Reyes
M  20  Vitolo
F  9  Carlos Bacca

Real Betis  VS.  Almeria:
G  13  Guillermo Sara
D  2  Francisco Chica Torres
D  3  Paulo
D  12  Didac
D  25  Jordi Figueras Montel
M  5  Mati
M  7  Alvaro Vadillo Cifuentes
M  17  Juan Carlos
M  21  Lorenzo Reyes
F  19  Jorge Molina
F  24  Rubn Castro
--------------------------
G  1  Suarez Esteban
D  2  Marco Torsiglieri
D  5  ngel Trujillo
D  16  Sebastian Dubarbier
D  22  Nlson
M  6  Marcos Tebar
M  7  Verza
M  8  Alexis Vidal Parreu
M  11  Hlder Barbosa
M  31  Ramn Azeez
F  9  Oscar Diaz

Atletico Madrid  VS.  Levante:
G  13  Thibaut Courtois
D  2  Diego Godn
D  3  Filipe Luis
D  20  Francisco Juanfran
D  23  Miranda
M  5  Tiago
M  6  Koke
M  10  Arda Turan
M  14  Gabi
F  9  David Villa
F  19  Diego Costa
--------------------------
G  1  Keylor Navas
D  4  David Navarro
D  6  Loukas Vyntra
D  12  Juanfran
D  15  Nikos Karabelas
M  19  Pedro Lpez
M  21  Andreas Ivanschitz
M  23  Pape Diop
M  24  Simo Mate Junior
F  7  David Barral
F  11  Rubn Garca

Granada  VS.  Real Sociedad:
G  13  Roberto
D  5  Mainz
D  16  Brayan Angulo
D  22  Dimitri Foulquier
D  24  Murillo
M  4  Fran Rico
M  8  Hassan Yebda
M  18  Manuel Iturra
F  9  Youssef El Arabi
F  10  Yacine Brahimi
F  20  Piti
--------------------------
G  1  Claudio Bravo
D  2  Carlos Martinez
D  6  Iigo Martnez
D  15  Jon Ansotegui
D  20  Jose Angel
M  5  Markel Bergara Larraaga
M  7  Antoine Griezmann
M  10  Xabi Prieto
M  11  Carlos Vela
M  14  Rubn Pardo
F  9  Imanol Agirretxe

Elche  VS.  Malaga:
G  13  Too
D  2  Damin Surez
D  3  Alberto Bota
D  18  Sergio Pelegrin
D  21  Edu Albcar
M  6  Rubn Prez
M  11  Coro
M  15  Carles Gil de Pareja Vicent
M  16  Fidel
M  24  Carlos Sanchez
F  9  Richmond Boakye
--------------------------
G  13  Wilfredo Caballero
D  2  Jesus Gamez
D  3  Weligton
D  5  Vitorino Antunes
D  21  Sergio Snchez
M  6  Ignacio Camacho
M  8  Francisco Portillo
M  12  Fernando Tissone
M  14  Pedro Morales
M  17  Duda
F  26  Juanmi

Real Valladolid  VS.  Celta Vigo:
G  13  Diego Marino Villar
D  2  Antonio Rukavina
D  4  Marc Valiente
D  6  Jess Rueda
D  17  Carlos Gonzalez Pea
M  5  Fausto Rossi
M  11  Daniel Larsson
M  14  Omar Ramos
M  18  Alvaro Rubio
M  20  Patrick Ebert
F  9  Javi Guerra
--------------------------
G  13  Yoel Rodrguez Oterino
D  2  Hugo Mallo
D  3  Fonts
D  15  Jon Aurtenetxe
D  22  Gustavo Cabral
M  4  Borja Oubina Melendez
M  8  lex Lpez
M  10  Nolito
M  12  Rafinha
M  24  Augusto Fernndez
F  11  Charles

Almeria  VS.  Espanyol:
G  1  Suarez Esteban
D  4  Hernan Dario Pellerano
D  5  ngel Trujillo
D  16  Sebastian Dubarbier
D  22  Nlson
M  7  Verza
M  8  Alexis Vidal Parreu
M  17  Suso
M  23  Fernando Soriano
M  31  Ramn Azeez
F  9  Oscar Diaz
--------------------------
G  13  Francisco Casilla
D  3  Ral Rodrguez
D  15  Hctor Moreno
D  18  Juan Rafael Fuentes Hernandez
D  19  Diego Colotto
M  4  Vctor Snchez
M  8  Christian Stuani
M  14  David Lpez
M  25  Gabriel Torje
F  9  Sergio Garca
F  24  Jhon Cordoba

Real Sociedad  VS.  Real Betis:
G  1  Claudio Bravo
D  2  Carlos Martinez
D  6  Iigo Martnez
D  15  Jon Ansotegui
D  20  Jose Angel
M  5  Markel Bergara Larraaga
M  7  Antoine Griezmann
M  10  Xabi Prieto
M  11  Carlos Vela
M  14  Rubn Pardo
F  9  Imanol Agirretxe
--------------------------
G  1  Stephan Andersen
D  2  Francisco Chica Torres
D  3  Paulo
D  4  Antonio Amaya
D  23  Perez Nacho
M  7  Alvaro Vadillo Cifuentes
M  8  Nono
M  10  Verd
M  21  Lorenzo Reyes
F  19  Jorge Molina
F  24  Rubn Castro

Sevilla FC  VS.  Athletic Bilbao:
G  13  Beto
D  2  Federico Fazio
D  3  Fernando Navarro
D  4  Cala
D  5  Diogo Figueiras
M  6  Daniel Carrio
M  19  Jos Antonio Reyes
M  20  Vitolo
M  22  Stphane M'Bia
M  32  Alberto
F  9  Carlos Bacca
--------------------------
G  1  Gorka Iraizoz
D  4  Aymeric Laporte
D  10  Oscar de Marcos
D  18  Carlos Gurpegui
D  24  Mikel Balenziaga
M  8  Ander Iturraspe
M  14  Markel Susaeta
M  17  Moreno Mikel Rico
M  19  Iker Munian
M  21  Ander Herrera
F  2  Gaizka Toquero

Atletico Madrid  VS.  Valencia:
G  13  Thibaut Courtois
D  2  Diego Godn
D  3  Filipe Luis
D  20  Francisco Juanfran
D  23  Miranda
M  5  Tiago
M  6  Koke
M  10  Arda Turan
M  14  Gabi
F  9  David Villa
F  19  Diego Costa
--------------------------
G  1  Diego Alves
D  5  Victor Ruiz
D  18  Andrs Guardado
D  19  Antonio Barragan
D  22  Jrmy Mathieu
M  6  Oriol Romeu
M  8  Sofiane Feghouli
M  14  Juan Bernat
M  21  Daniel Parejo
M  23  Sergio Canales Madrazo
F  7  Jonas

Osasuna  VS.  Real Madrid:
G  13  Andrs Fernndez
D  2  Marc Bertrn
D  14  Javi Arribas
D  22  Jordan Loties
D  24  Damia
M  5  Lolo
M  9  Emiliano Armenteros
M  16  Alvaro Cejudo
M  20  Francisco Silva
M  21  Roberto Torres
F  19  Oriol Riera Magem
--------------------------
G  25  Diego Lopez
D  3  Pepe
D  4  Sergio Ramos
D  12  Marcelo
D  15  Daniel Carvajal
M  7  Cristiano Ronaldo
M  11  Gareth Bale
M  14  Xabi Alonso
M  19  Luka Modric
M  23  Isco
F  9  Karim Benzema

Rayo Vallecano  VS.  Granada:
G  13  Rubn
D  2  Tito
D  3  Jose Ignacio Martinez Garcia
D  5  Alejandro Glvez
D  17  Leonel  Galeano
M  4  Ral Baena
M  10  Roberto Trashorras
M  23  Alberto Bueno
F  7  Lass
F  19  Jonathan Viera
F  20  Joaquin Larrivey
--------------------------
G  13  Roberto
D  5  Mainz
D  16  Brayan Angulo
D  22  Dimitri Foulquier
D  24  Murillo
M  4  Fran Rico
M  8  Hassan Yebda
M  18  Manuel Iturra
F  9  Youssef El Arabi
F  10  Yacine Brahimi
F  20  Piti

Barcelona  VS.  Villarreal:
G  13  Jos Manuel Pinto
D  2  Martin Montoya
D  3  Gerard Piqu
D  15  Marc Bartra
D  18  Jordi Alba
M  8  Andrs Iniesta
M  16  Sergio Busquets
M  17  Alex Song
F  4  Cesc Fbregas
F  9  Alexis Snchez
F  11  Neymar
--------------------------
G  1  Sergio Asenjo
D  2  Mario Gaspar Prez Martnez
D  5  Mateo Musacchio
D  16  Jos Antonio Dorado Ramrez
D  18  Jaume
M  4  Toms Pina
M  11  Hernn Prez
M  14  Trigueros
M  17  Javier Aquino Carmona
M  28  Eduardo  Gomez
F  9  Giovani Dos Santos

Malaga  VS.  Getafe:
G  13  Wilfredo Caballero
D  2  Jesus Gamez
D  3  Weligton
D  5  Vitorino Antunes
D  21  Sergio Snchez
M  6  Ignacio Camacho
M  8  Francisco Portillo
M  12  Fernando Tissone
M  14  Pedro Morales
M  18  Eliseu
F  26  Juanmi
--------------------------
G  1  Miguel Moya
D  2  Alexis
D  3  Roberto Lago
D  12  Arroyo
D  15  Rafa Lopez
M  5  Medhi Lacen
M  8  Sarabia
M  14  Pedro Len
M  17  Diego Castro Gimenez
M  24  Pedro Mosquera
F  9  Ciprian Marica

Levante  VS.  Elche:
G  1  Keylor Navas
D  6  Loukas Vyntra
D  12  Juanfran
D  15  Nikos Karabelas
D  19  Pedro Lpez
M  8  Nabil El Zhar
M  18  Sergio Pinto
M  20  Pedro Ros
M  23  Pape Diop
M  24  Simo Mate Junior
F  10  Papa Babacar Diawara
--------------------------
G  13  Too
D  3  Alberto Bota
D  18  Sergio Pelegrin
D  19  Cristian Sapunaru
D  21  Edu Albcar
M  6  Rubn Prez
M  11  Coro
M  15  Carles Gil de Pareja Vicent
M  16  Fidel
M  24  Carlos Sanchez
F  9  Richmond Boakye

Villarreal  VS.  Real Sociedad:
G  1  Sergio Asenjo
D  2  Mario Gaspar Prez Martnez
D  5  Mateo Musacchio
D  16  Jos Antonio Dorado Ramrez
D  18  Jaume
M  14  Trigueros
M  17  Javier Aquino Carmona
M  21  Bruno
M  27  Moiss Gmez
F  8  Ikechukwu Uche
F  9  Giovani Dos Santos
--------------------------
G  1  Claudio Bravo
D  2  Carlos Martinez
D  6  Iigo Martnez
D  15  Jon Ansotegui
D  20  Jose Angel
M  5  Markel Bergara Larraaga
M  7  Antoine Griezmann
M  10  Xabi Prieto
M  11  Carlos Vela
M  14  Rubn Pardo
F  9  Imanol Agirretxe

Getafe  VS.  Rayo Vallecano:
G  1  Miguel Moya
D  4  Lisandro Lopez
D  15  Rafa Lopez
D  18  Sergio Escudero
D  20  Valera
M  5  Medhi Lacen
M  7  Lafita
M  8  Sarabia
M  14  Pedro Len
M  23  Borja
F  9  Ciprian Marica
--------------------------
G  13  Rubn
D  2  Tito
D  3  Jose Ignacio Martinez Garcia
D  5  Alejandro Glvez
D  22  Sal guez Esclapez
M  4  Ral Baena
M  7  Lass
M  10  Roberto Trashorras
M  19  Jonathan Viera
M  23  Alberto Bueno
F  11  Nery Castillo

Real Betis  VS.  Osasuna:
G  1  Stephan Andersen
D  3  Paulo
D  4  Antonio Amaya
D  11  Juanfran
D  23  Perez Nacho
M  8  Nono
M  14  Salva Sevilla
M  21  Lorenzo Reyes
F  6  Leo Baptistao
F  7  Alvaro Vadillo Cifuentes
F  24  Rubn Castro
--------------------------
G  13  Andrs Fernndez
D  2  Marc Bertrn
D  14  Javi Arribas
D  22  Jordan Loties
D  24  Damia
M  5  Lolo
M  8  Miguel de las Cuevas
M  16  Alvaro Cejudo
M  20  Francisco Silva
M  21  Roberto Torres
F  19  Oriol Riera Magem

Espanyol  VS.  Real Madrid:
G  13  Francisco Casilla
D  15  Hctor Moreno
D  16  Jav Lpez
D  18  Juan Rafael Fuentes Hernandez
D  19  Diego Colotto
M  3  Ral Rodrguez
M  4  Vctor Snchez
M  8  Christian Stuani
M  22  Alex
M  25  Gabriel Torje
F  24  Jhon Cordoba
--------------------------
G  25  Diego Lopez
D  3  Pepe
D  4  Sergio Ramos
D  12  Marcelo
D  15  Daniel Carvajal
M  14  Xabi Alonso
M  19  Luka Modric
M  22  ngel Di Mara
F  7  Cristiano Ronaldo
F  9  Karim Benzema
F  11  Gareth Bale

Levante  VS.  Malaga:
G  1  Keylor Navas
D  6  Loukas Vyntra
D  12  Juanfran
D  15  Nikos Karabelas
D  19  Pedro Lpez
M  11  Rubn Garca
M  17  Jordi Xumetra Feliu
M  18  Sergio Pinto
M  21  Andreas Ivanschitz
M  24  Simo Mate Junior
F  7  David Barral
--------------------------
G  13  Wilfredo Caballero
D  2  Jesus Gamez
D  3  Weligton
D  18  Eliseu
D  21  Sergio Snchez
M  6  Ignacio Camacho
M  8  Francisco Portillo
M  12  Fernando Tissone
M  17  Duda
M  24  Samuel
F  9  Roque Santa Cruz

Athletic Bilbao  VS.  Almeria:
G  1  Gorka Iraizoz
D  4  Aymeric Laporte
D  6  Mikel San Jose
D  15  Andoni Iraola
D  24  Mikel Balenziaga
M  8  Ander Iturraspe
M  14  Markel Susaeta
M  17  Moreno Mikel Rico
M  19  Iker Munian
M  21  Ander Herrera
F  20  Aritz Aduriz
--------------------------
G  1  Suarez Esteban
D  2  Marco Torsiglieri
D  5  ngel Trujillo
D  16  Sebastian Dubarbier
D  20  Rafita
M  7  Verza
M  8  Alexis Vidal Parreu
M  11  Hlder Barbosa
M  23  Fernando Soriano
M  31  Ramn Azeez
F  9  Oscar Diaz

Celta Vigo  VS.  Valencia:
G  13  Yoel Rodrguez Oterino
D  2  Hugo Mallo
D  3  Fonts
D  19  Jonny
D  22  Gustavo Cabral
M  4  Borja Oubina Melendez
M  8  lex Lpez
M  24  Augusto Fernndez
F  11  Charles
F  12  Rafinha
F  14  Fabin Orellana
--------------------------
G  1  Diego Alves
D  12  Joao Pereira
D  18  Andrs Guardado
D  20  Ricardo Costa
D  22  Jrmy Mathieu
M  2  Pablo Piatti
M  6  Oriol Romeu
M  8  Sofiane Feghouli
M  21  Daniel Parejo
M  23  Sergio Canales Madrazo
F  7  Jonas

Atletico Madrid  VS.  Barcelona:
G  13  Thibaut Courtois
D  2  Diego Godn
D  3  Filipe Luis
D  20  Francisco Juanfran
D  23  Miranda
M  5  Tiago
M  6  Koke
M  10  Arda Turan
M  14  Gabi
F  9  David Villa
F  19  Diego Costa
--------------------------
G  1  Victor Valds
D  3  Gerard Piqu
D  14  Javier Mascherano
D  18  Jordi Alba
D  22  Dani Alves
M  6  Xavi
M  8  Andrs Iniesta
M  16  Sergio Busquets
F  4  Cesc Fbregas
F  7  Pedro
F  9  Alexis Snchez

Elche  VS.  Sevilla FC:
G  13  Too
D  2  Damin Surez
D  4  David Rodriguez Lomban
D  18  Sergio Pelegrin
D  21  Edu Albcar
M  6  Rubn Prez
M  7  Aarn
M  11  Coro
M  15  Carles Gil de Pareja Vicent
M  17  Javier Moreno Marquez
F  9  Richmond Boakye
--------------------------
G  13  Beto
D  2  Federico Fazio
D  3  Fernando Navarro
D  6  Daniel Carrio
D  23  Coke Andjar
M  11  Ivan Rakitic
M  12  Vicente Iborra de la Fuente
M  19  Jos Antonio Reyes
M  20  Vitolo
M  22  Stphane M'Bia
F  9  Carlos Bacca

Granada  VS.  Real Valladolid:
G  13  Roberto
D  2  Allan-Romo Nyom
D  5  Mainz
D  16  Brayan Angulo
D  24  Murillo
M  4  Fran Rico
M  14  Recio
M  18  Manuel Iturra
F  9  Youssef El Arabi
F  10  Yacine Brahimi
F  20  Piti
--------------------------
G  13  Diego Marino Villar
D  2  Antonio Rukavina
D  4  Marc Valiente
D  6  Jess Rueda
D  17  Carlos Gonzalez Pea
M  5  Fausto Rossi
M  10  scar Gonzlez
M  14  Omar Ramos
M  21  Zakara Bergdich
M  22  Victor Perez
F  9  Javi Guerra

Real Madrid  VS.  Celta Vigo:
G  25  Diego Lopez
D  3  Pepe
D  4  Sergio Ramos
D  12  Marcelo
D  15  Daniel Carvajal
M  7  Cristiano Ronaldo
M  14  Xabi Alonso
M  19  Luka Modric
M  22  ngel Di Mara
M  23  Isco
F  9  Karim Benzema
--------------------------
G  13  Yoel Rodrguez Oterino
D  2  Hugo Mallo
D  19  Jonny
D  22  Gustavo Cabral
D  30  David Costas
M  4  Borja Oubina Melendez
M  8  lex Lpez
M  24  Augusto Fernndez
F  11  Charles
F  12  Rafinha
F  14  Fabin Orellana

Rayo Vallecano  VS.  Villarreal:
G  1  David Cobeo
D  2  Tito
D  3  Jose Ignacio Martinez Garcia
D  5  Alejandro Glvez
D  6  Sergio Rodri
M  7  Lass
M  8  Adrian Gonzalez
M  10  Roberto Trashorras
M  19  Jonathan Viera
M  22  Sal guez Esclapez
F  23  Alberto Bueno
--------------------------
G  1  Sergio Asenjo
D  2  Mario Gaspar Prez Martnez
D  5  Mateo Musacchio
D  16  Jos Antonio Dorado Ramrez
D  18  Jaume
M  4  Toms Pina
M  11  Hernn Prez
M  14  Trigueros
M  27  Moiss Gmez
F  7  Jrmy Perbet
F  8  Ikechukwu Uche

Sevilla FC  VS.  Getafe:
G  13  Beto
D  2  Federico Fazio
D  3  Fernando Navarro
D  6  Daniel Carrio
D  23  Coke Andjar
M  11  Ivan Rakitic
M  19  Jos Antonio Reyes
M  20  Vitolo
M  22  Stphane M'Bia
F  9  Carlos Bacca
F  18  Kevin Gameiro
--------------------------
G  1  Miguel Moya
D  2  Alexis
D  4  Lisandro Lopez
D  12  Arroyo
D  18  Sergio Escudero
M  7  Lafita
M  14  Pedro Len
M  17  Diego Castro Gimenez
M  23  Borja
M  24  Pedro Mosquera
F  11  Adrin Colunga

Barcelona  VS.  Elche:
G  1  Victor Valds
D  2  Martin Montoya
D  3  Gerard Piqu
D  15  Marc Bartra
D  18  Jordi Alba
M  6  Xavi
M  8  Andrs Iniesta
M  17  Alex Song
F  4  Cesc Fbregas
F  7  Pedro
F  9  Alexis Snchez
--------------------------
G  13  Too
D  3  Alberto Bota
D  4  David Rodriguez Lomban
D  19  Cristian Sapunaru
D  21  Edu Albcar
M  6  Rubn Prez
M  7  Aarn
M  15  Carles Gil de Pareja Vicent
M  16  Fidel
M  24  Carlos Sanchez
F  9  Richmond Boakye

Osasuna  VS.  Espanyol:
G  13  Andrs Fernndez
D  2  Marc Bertrn
D  3  Joan Oriol
D  14  Javi Arribas
D  22  Jordan Loties
M  5  Lolo
M  8  Miguel de las Cuevas
M  9  Emiliano Armenteros
M  10  Francisco Pual
M  16  Alvaro Cejudo
F  19  Oriol Riera Magem
--------------------------
G  13  Francisco Casilla
D  11  Joan Capdevila
D  15  Hctor Moreno
D  16  Jav Lpez
D  19  Diego Colotto
M  8  Christian Stuani
M  14  David Lpez
M  20  Simo
M  23  Abraham Gonzlez
F  9  Sergio Garca
F  24  Jhon Cordoba

Real Sociedad  VS.  Athletic Bilbao:
G  1  Claudio Bravo
D  2  Carlos Martinez
D  6  Iigo Martnez
D  15  Jon Ansotegui
D  20  Jose Angel
M  5  Markel Bergara Larraaga
M  7  Antoine Griezmann
M  10  Xabi Prieto
M  11  Carlos Vela
M  14  Rubn Pardo
F  9  Imanol Agirretxe
--------------------------
G  1  Gorka Iraizoz
D  4  Aymeric Laporte
D  10  Oscar de Marcos
D  18  Carlos Gurpegui
D  24  Mikel Balenziaga
M  8  Ander Iturraspe
M  14  Markel Susaeta
M  17  Moreno Mikel Rico
M  19  Iker Munian
M  21  Ander Herrera
F  20  Aritz Aduriz

Malaga  VS.  Atletico Madrid:
G  13  Wilfredo Caballero
D  2  Jesus Gamez
D  3  Weligton
D  5  Vitorino Antunes
D  15  Marcos Angeleri
D  21  Sergio Snchez
M  6  Ignacio Camacho
M  18  Eliseu
M  24  Samuel
M  30  Sergi Darder
F  26  Juanmi
--------------------------
G  13  Thibaut Courtois
D  2  Diego Godn
D  3  Filipe Luis
D  20  Francisco Juanfran
D  23  Miranda
M  5  Tiago
M  6  Koke
M  10  Arda Turan
M  16  Oliver
F  9  David Villa
F  19  Diego Costa

Real Valladolid  VS.  Real Betis:
G  13  Diego Marino Villar
D  2  Antonio Rukavina
D  4  Marc Valiente
D  6  Jess Rueda
D  17  Carlos Gonzalez Pea
M  5  Fausto Rossi
M  11  Daniel Larsson
M  14  Omar Ramos
M  18  Alvaro Rubio
M  22  Victor Perez
F  9  Javi Guerra
--------------------------
G  13  Guillermo Sara
D  2  Francisco Chica Torres
D  3  Paulo
D  4  Antonio Amaya
D  12  Didac
M  5  Mati
M  10  Verd
M  17  Juan Carlos
M  19  Jorge Molina
M  21  Lorenzo Reyes
F  24  Rubn Castro

Valencia  VS.  Levante:
G  1  Diego Alves
D  14  Juan Bernat
D  19  Antonio Barragan
D  20  Ricardo Costa
D  22  Jrmy Mathieu
M  2  Pablo Piatti
M  6  Oriol Romeu
M  7  Jonas
M  8  Sofiane Feghouli
M  21  Daniel Parejo
F  9  Hlder Postiga
--------------------------
G  1  Keylor Navas
D  6  Loukas Vyntra
D  15  Nikos Karabelas
D  16  Issam Adoua
D  19  Pedro Lpez
M  11  Rubn Garca
M  20  Pedro Ros
M  21  Andreas Ivanschitz
M  23  Pape Diop
M  24  Simo Mate Junior
F  7  David Barral

Almeria  VS.  Granada:
G  1  Suarez Esteban
D  2  Marco Torsiglieri
D  5  ngel Trujillo
D  16  Sebastian Dubarbier
D  20  Rafita
M  7  Verza
M  8  Alexis Vidal Parreu
M  11  Hlder Barbosa
M  23  Fernando Soriano
M  31  Ramn Azeez
F  9  Oscar Diaz
--------------------------
G  1  Orestis Karnezis
D  2  Allan-Romo Nyom
D  5  Mainz
D  15  Pape Diakhate
D  22  Dimitri Foulquier
M  4  Fran Rico
M  8  Hassan Yebda
M  18  Manuel Iturra
F  9  Youssef El Arabi
F  10  Yacine Brahimi
F  20  Piti

Real Sociedad  VS.  Elche:
G  1  Claudio Bravo
D  2  Carlos Martinez
D  6  Iigo Martnez
D  15  Jon Ansotegui
D  20  Jose Angel
M  5  Markel Bergara Larraaga
M  7  Antoine Griezmann
M  10  Xabi Prieto
M  11  Carlos Vela
M  14  Rubn Pardo
F  9  Imanol Agirretxe
--------------------------
G  13  Too
D  2  Damin Surez
D  3  Alberto Bota
D  4  David Rodriguez Lomban
D  21  Edu Albcar
M  6  Rubn Prez
M  7  Aarn
M  11  Coro
M  15  Carles Gil de Pareja Vicent
M  24  Carlos Sanchez
F  14  Manu

Almeria  VS.  Getafe:
G  1  Suarez Esteban
D  2  Marco Torsiglieri
D  5  ngel Trujillo
D  16  Sebastian Dubarbier
D  20  Rafita
M  6  Marcos Tebar
M  8  Alexis Vidal Parreu
M  17  Suso
M  23  Fernando Soriano
M  31  Ramn Azeez
F  19  Sundy Zongo Jonathan
--------------------------
G  1  Miguel Moya
D  4  Lisandro Lopez
D  12  Arroyo
D  15  Rafa Lopez
D  18  Sergio Escudero
M  8  Sarabia
M  14  Pedro Len
M  17  Diego Castro Gimenez
M  21  Michel
